company,location_hq,num_laid_off,layoff_date,percent_laid_off,industry,source,stage,raised_million,country,date_added
Unity,SF Bay Area,,2/11/25,,Other,https://www.theverge.com/news/610165/unity-layoffs-2025-runtime-fee,Post-IPO,"$1,300 ",United States,2/12/25
Google,SF Bay Area,,2/27/25,,Consumer,https://www.cnbc.com/2025/02/27/google-makes-cuts-to-hr-and-cloud-units.html,Post-IPO,$26 ,United States,2/27/25
Autodesk,SF Bay Area,1350,2/27/25,9%,Other,https://www.cnbc.com/2025/02/27/autodesk-says-it-will-cut-1350-employees.html,Post-IPO,,United States,2/27/25
Ibotta,Denver,70,2/22/25,8%,Retail,https://coloradosun.com/2025/02/22/fired-federal-workers-eligible-colorado-unemployment-benefits/#h-other-working-bits,Post-IPO,$93 ,United States,2/24/25
Meta,SF Bay Area,3600,2/10/25,5%,Consumer,https://finance.yahoo.com/news/mark-zuckerberg-warned-employees-prepare-174916671.html,Post-IPO,"$26,000 ",United States,1/16/25
Logically,ManchesterNon-U.S.,40,2/17/25,20%,AI,https://sifted.eu/articles/anti-misinformation-startup-logically-lays-off-dozens-in-global-cost-cutting-drive,Series A,$37 ,United Kingdom,2/17/25
Electriq Global,Tel AvivNon-U.S.,,2/21/25,100%,Energy,https://www.calcalistech.com/ctechnews/article/syqy71l91e,Unknown,$8 ,Israel,2/25/25
Vendease,LagosNon-U.S.,120,2/19/25,44%,Food,https://techcabal.com/2025/02/19/vendease-second-layoffs/,Series A,$43 ,Nigeria,2/21/25
Riskified,New York City,,2/19/25,,Retail,https://www.calcalistech.com/ctechnews/article/h1hkriq91l,Post-IPO,$229 ,United States,2/21/25
ANS Commerce,GurugramNon-U.S.,,3/2/25,100%,Retail,https://www.etnownews.com/technology/flipkart-shuts-down-ans-commerce-after-3-years-lays-off-employees-amid-e-commerce-restructuring-details-article-118657546,Acquired,$2 ,India,3/2/25
Skybox Security,SF Bay Area,300,2/24/25,100%,Security,https://www.calcalistech.com/ctechnews/article/s1wi4rc5yl,Private Equity,$335 ,United States,2/25/25
Redfin,Seattle,450,2/12/25,,Real Estate,https://www.realestatenews.com/2025/02/12/redfin-to-cut-450-roles-following-zillow-rentals-deal,Post-IPO,$320 ,United States,2/17/25
Grubhub,SF Bay Area,500,2/28/25,23%,Food,https://www.reuters.com/technology/food-delivery-company-grubhub-lay-off-500-positions-2025-02-28/,Acquired,$284 ,United States,2/28/25
Expedia,Seattle,,2/26/25,,Travel,https://www.geekwire.com/2025/expedia-confirms-layoffs-at-seattle-travel-giant/,Post-IPO,"$3,300 ",United States,2/27/25
Commercetools,MunichNon-U.S.,,2/26/25,10%,Retail,https://techcrunch.com/2025/02/26/commercetools-a-pioneer-in-headless-commerce-lays-off-dozens-of-staff/,Series C,$119 ,Germany,2/27/25
HP,SF Bay Area,2000,2/28/25,,Hardware,https://www.sfchronicle.com/tech/article/hp-job-cuts-tariff-concerns-20193141.php,Post-IPO,,United States,2/28/25
Blue Origin,Seattle,1000,2/13/25,10%,Aerospace,https://www.cnn.com/2025/02/13/science/blue-origin-employee-layoffs/index.html,Unknown,$167 ,United States,2/14/25
Getaround,SF Bay Area,,2/12/25,,Transportation,https://www.sfchronicle.com/bayarea/article/s-f-based-getaround-lay-nearly-u-s-based-20164114.php,Series D,$403 ,United States,2/13/25
Zepz,LondonNon-U.S.,200,2/12/25,20%,Finance,https://www.cnbc.com/2025/02/12/fintech-unicorn-zepz-to-lay-off-200-employees-sources-say.html,Series E,$700 ,United Kingdom,2/12/25
Zendesk,SF Bay Area,51,2/21/25,,Support,https://www.kron4.com/news/bay-area/zendesk-lays-off-dozens-of-employees-at-sf-headquarters/,Acquired,$85 ,United States,2/21/25
HerMD,Cincinnati,,2/24/25,100%,Healthcare,https://www.bizjournals.com/cincinnati/inno/stories/news/2025/02/24/hermd-womens-health-startup-closing-venture.html,Series A,$28 ,United States,2/25/25
